FIELD,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
STRIPE82_0084,Calibration_iDR5_3_Main,20.8696,20.2313,20.2852,21.1871,21.3356,23.6576,21.5829,23.654,21.1233,23.4001,21.6738,22.838
STRIPE82_0084,Calibration_Utest2_iDR5_3_Main,20.8884,20.2313,20.2852,21.1871,21.3356,23.6576,21.5829,23.654,21.1233,23.4001,21.6738,22.838
STRIPE82_0096,Calibration_XPSP_0,20.71077,20.09877,20.14067,21.03167,21.16767,23.47457,21.41997,23.56197,21.05547,23.34157,21.64377,22.76447
STRIPE82_0096,Calibration_XPSP_GAIA3,20.70137,20.09977,20.14167,21.03267,21.16867,23.47557,21.42097,23.56297,21.05647,23.34257,21.64477,22.76547
STRIPE82_0096,Calibration_XPSP_GALEX_0,20.69817,20.10147,20.14337,21.03437,21.17037,23.47727,21.42267,23.56467,21.05817,23.34427,21.64647,22.76717
STRIPE82_0096,Calibration_XPSP,20.71077,20.09877,20.14067,21.03167,21.16767,23.47457,21.41997,23.56197,21.05547,23.34157,21.64377,22.76447
STRIPE82_0096,Calibration_Utest1_iDR5_3_Main,20.7438,20.1052,20.1471,21.0381,21.1741,23.481,21.4264,23.5684,21.0619,23.348,21.6502,22.7709
STRIPE82_0096,Calibration_iDR5_3_Main,20.7068,20.1052,20.1471,21.0381,21.1741,23.481,21.4264,23.5684,21.0619,23.348,21.6502,22.7709
STRIPE82_0096,Calibration_Utest2_iDR5_3_Main,20.7397,20.1052,20.1471,21.0381,21.1741,23.481,21.4264,23.5684,21.0619,23.348,21.6502,22.7709
STRIPE82_0097,Calibration_XPSP_0,20.86357,20.21987,20.27017,21.17757,21.32237,23.62507,21.56037,23.63217,21.10767,23.38017,21.65987,22.81977
STRIPE82_0097,Calibration_XPSP_GAIA3,20.8536,20.2201,20.2704,21.1778,21.3226,23.6253,21.5606,23.6324,21.1079,23.3804,21.6601,22.82
STRIPE82_0097,Calibration_XPSP_GALEX_0,20.85073,20.22313,20.27343,21.18083,21.32563,23.62833,21.56363,23.63543,21.11093,23.38343,21.66313,22.82303
STRIPE82_0097,Calibration_XPSP,20.86357,20.21987,20.27017,21.17757,21.32237,23.62507,21.56037,23.63217,21.10767,23.38017,21.65987,22.81977
STRIPE82_0097,Calibration_Utest1_iDR5_3_Main,20.8933,20.2283,20.2786,21.186,21.3308,23.6335,21.5688,23.6406,21.1161,23.3886,21.6683,22.8282
STRIPE82_0097,Calibration_iDR5_3_Main,20.8618,20.2283,20.2786,21.186,21.3308,23.6335,21.5688,23.6406,21.1161,23.3886,21.6683,22.8282
STRIPE82_0097,Calibration_Utest2_iDR5_3_Main,20.8896,20.2283,20.2786,21.186,21.3308,23.6335,21.5688,23.6406,21.1161,23.3886,21.6683,22.8282
STRIPE82_0098,Calibration_XPSP_0,20.81433,20.17183,20.23113,21.12543,21.26723,23.56453,21.50813,23.61313,21.08243,23.37163,21.64743,22.80103
STRIPE82_0098,Calibration_XPSP_GAIA3,20.80503,20.17233,20.23163,21.12593,21.26773,23.56503,21.50863,23.61363,21.08293,23.37213,21.64793,22.80153
STRIPE82_0098,Calibration_XPSP_GALEX_0,20.82723,20.17423,20.23353,21.12783,21.26963,23.56693,21.51053,23.61553,21.08483,23.37403,21.64983,22.80343
STRIPE82_0098,Calibration_XPSP,20.81433,20.17183,20.23113,21.12543,21.26723,23.56453,21.50813,23.61313,21.08243,23.37163,21.64743,22.80103
STRIPE82_0098,Calibration_Utest1_iDR5_3_Main,20.845,20.1764,20.2357,21.13,21.2718,23.5691,21.5127,23.6177,21.087,23.3762,21.652,22.8056
STRIPE82_0098,Calibration_iDR5_3_Main,20.8091,20.1764,20.2357,21.13,21.2718,23.5691,21.5127,23.6177,21.087,23.3762,21.652,22.8056
STRIPE82_0098,Calibration_Utest2_iDR5_3_Main,20.8374,20.1764,20.2357,21.13,21.2718,23.5691,21.5127,23.6177,21.087,23.3762,21.652,22.8056
STRIPE82_0100,Calibration_XPSP_0,20.8962,20.2667,20.3098,21.2062,21.3522,23.6489,21.5922,23.6587,21.1307,23.403,21.6844,22.8412
STRIPE82_0100,Calibration_XPSP_GAIA3,20.88537,20.26727,20.31037,21.20677,21.35277,23.64947,21.59277,23.65927,21.13127,23.40357,21.68497,22.84177
STRIPE82_0100,Calibration_XPSP_GALEX_0,20.92147,20.26977,20.31287,21.20927,21.35527,23.65197,21.59527,23.66177,21.13377,23.40607,21.68747,22.84427
STRIPE82_0100,Calibration_XPSP,20.8962,20.2667,20.3098,21.2062,21.3522,23.6489,21.5922,23.6587,21.1307,23.403,21.6844,22.8412
STRIPE82_0100,Calibration_Utest1_iDR5_3_Main,20.9285,20.2706,20.3137,21.2101,21.3561,23.6528,21.5961,23.6626,21.1346,23.4069,21.6883,22.8451
STRIPE82_0100,Calibration_iDR5_3_Main,20.8887,20.2706,20.3137,21.2101,21.3561,23.6528,21.5961,23.6626,21.1346,23.4069,21.6883,22.8451
STRIPE82_0100,Calibration_Utest2_iDR5_3_Main,20.9238,20.2706,20.3137,21.2101,21.3561,23.6528,21.5961,23.6626,21.1346,23.4069,21.6883,22.8451
STRIPE82_0102,Calibration_XPSP_0,20.89113,20.26343,20.30823,21.21353,21.36213,23.66073,21.60293,23.66773,21.12223,23.41293,21.68983,22.85243
STRIPE82_0102,Calibration_XPSP_GAIA3,20.88277,20.26357,20.30837,21.21367,21.36227,23.66087,21.60307,23.66787,21.12237,23.41307,21.68997,22.85257
STRIPE82_0102,Calibration_XPSP_GALEX_0,20.90183,20.26353,20.30833,21.21363,21.36223,23.66083,21.60303,23.66783,21.12233,23.41303,21.68993,22.85253
STRIPE82_0102,Calibration_XPSP,20.89113,20.26343,20.30823,21.21353,21.36213,23.66073,21.60293,23.66773,21.12223,23.41293,21.68983,22.85243
STRIPE82_0102,Calibration_Utest1_iDR5_3_Main,20.9258,20.2665,20.3113,21.2166,21.3652,23.6638,21.606,23.6708,21.1253,23.416,21.6929,22.8555
STRIPE82_0102,Calibration_iDR5_3_Main,20.8857,20.2665,20.3113,21.2166,21.3652,23.6638,21.606,23.6708,21.1253,23.416,21.6929,22.8555
STRIPE82_0102,Calibration_Utest2_iDR5_3_Main,20.9231,20.2665,20.3113,21.2166,21.3652,23.6638,21.606,23.6708,21.1253,23.416,21.6929,22.8555
STRIPE82_0103,Calibration_XPSP_0,20.89907,20.27267,20.32127,21.21437,21.36437,23.65917,21.60117,23.67067,21.14497,23.41447,21.68817,22.86007
