FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
HYDRA_0116,Calibration_iDR5_3_Main,0.0046,0.0013,0.0004
HYDRA_0117,Calibration_XPSP_GAIA3,0.0035,0.0019,0.0013
HYDRA_0117,Calibration_iDR5_3_Main,0.0035,0.0019,0.0013
HYDRA_0118,Calibration_iDR5_3_Main,0.0041,0.0021,0.0011
HYDRA_0119,Calibration_XPSP_GAIA3,0.0063,0.0032,0.0006
HYDRA_0119,Calibration_XPSP,0.0082,0.0033,-0.0015
HYDRA_0119,Calibration_iDR5_3_Main,0.0063,0.0032,0.0006
HYDRA_0122,Calibration_XPSP_GAIA3,0.0098,0.0024,-0.001
HYDRA_0122,Calibration_XPSP,0.0163,0.005,-0.0037
HYDRA_0122,Calibration_iDR5_3_Main,0.0098,0.0024,-0.001
HYDRA_0123,Calibration_XPSP_GAIA3,0.0094,0.0032,0.0005
HYDRA_0123,Calibration_XPSP,0.0131,0.0047,-0.0013
HYDRA_0123,Calibration_iDR5_3_Main,0.0094,0.0032,0.0005
HYDRA_0124,Calibration_XPSP_GAIA3,0.0087,0.0029,0.0004
HYDRA_0124,Calibration_XPSP,0.0116,0.0034,-0.0013
HYDRA_0124,Calibration_iDR5_3_Main,0.0087,0.0029,0.0004
HYDRA_0125,Calibration_XPSP_GAIA3,0.0058,0.0015,0.0002
HYDRA_0125,Calibration_XPSP,0.0093,0.0019,-0.0012
HYDRA_0125,Calibration_iDR5_3_Main,0.0058,0.0015,0.0002
HYDRA_0126,Calibration_iDR5_3_Main,0.0057,0.0025,0.001
HYDRA_0127,Calibration_XPSP_GAIA3,0.0053,0.0024,0.001
HYDRA_0127,Calibration_XPSP,0.0086,0.0028,-0.0014
HYDRA_0127,Calibration_iDR5_3_Main,0.0053,0.0024,0.001
HYDRA_0128,Calibration_XPSP_GAIA3,0.0063,0.0038,0.0013
HYDRA_0128,Calibration_XPSP,0.0085,0.0043,-0.0006
HYDRA_0128,Calibration_iDR5_3_Main,0.0063,0.0038,0.0013
HYDRA_0130,Calibration_XPSP_GAIA3,0.0105,0.0036,-0.0
HYDRA_0130,Calibration_XPSP,0.0149,0.0054,-0.0026
HYDRA_0130,Calibration_iDR5_3_Main,0.0105,0.0036,-0.0
HYDRA_0131,Calibration_XPSP_GAIA3,0.0083,0.0027,0.0004
HYDRA_0131,Calibration_XPSP,0.0123,0.0041,-0.0018
HYDRA_0131,Calibration_iDR5_3_Main,0.0083,0.0027,0.0004
HYDRA_0132,Calibration_XPSP_GAIA3,0.0068,0.002,-0.0002
HYDRA_0132,Calibration_XPSP,0.0117,0.0028,-0.0029
HYDRA_0132,Calibration_iDR5_3_Main,0.0068,0.002,-0.0002
HYDRA_0133,Calibration_XPSP_GAIA3,0.0066,0.0018,0.0004
HYDRA_0133,Calibration_XPSP,0.0105,0.0028,-0.0015
HYDRA_0133,Calibration_iDR5_3_Main,0.0066,0.0018,0.0004
HYDRA_0134,Calibration_XPSP_GAIA3,0.0066,0.0018,-0.0003
HYDRA_0134,Calibration_XPSP,0.0095,0.0018,-0.0022
HYDRA_0134,Calibration_iDR5_3_Main,0.0066,0.0018,-0.0003
HYDRA_0135,Calibration_XPSP_GAIA3,0.0074,0.0021,0.0001
HYDRA_0135,Calibration_XPSP,0.0119,0.0035,-0.0023
HYDRA_0135,Calibration_iDR5_3_Main,0.0074,0.0021,0.0001
HYDRA_0138,Calibration_iDR5_3_Main,0.021,0.0141,0.0109
HYDRA_0139,Calibration_XPSP_GAIA3,0.0081,0.0025,0.0001
HYDRA_0139,Calibration_XPSP,0.0119,0.0037,-0.0026
HYDRA_0139,Calibration_iDR5_3_Main,0.0081,0.0025,0.0001
HYDRA_0140,Calibration_XPSP_GAIA3,0.0079,0.0038,0.0012
HYDRA_0140,Calibration_XPSP,0.0107,0.0033,-0.0022
HYDRA_0140,Calibration_iDR5_3_Main,0.0079,0.0038,0.0012
HYDRA_0141,Calibration_XPSP_GAIA3,0.0072,0.0025,0.0001
HYDRA_0141,Calibration_XPSP,0.01,0.0033,-0.0016
HYDRA_0141,Calibration_iDR5_3_Main,0.0072,0.0025,0.0001
HYDRA_0142,Calibration_XPSP_GAIA3,0.0084,0.0033,0.0007
HYDRA_0142,Calibration_XPSP,0.0126,0.0043,-0.0021
HYDRA_0142,Calibration_iDR5_3_Main,0.0084,0.0033,0.0007
HYDRA_0143,Calibration_XPSP_GAIA3,0.0123,0.0051,-0.0004
HYDRA_0143,Calibration_XPSP,0.0169,0.0066,-0.0031
HYDRA_0143,Calibration_iDR5_3_Main,0.0123,0.0051,-0.0004
HYDRA_0144,Calibration_XPSP_GAIA3,0.0201,0.0104,-0.0012
HYDRA_0144,Calibration_XPSP,0.0225,0.0114,-0.0032
HYDRA_0144,Calibration_iDR5_3_Main,0.0201,0.0104,-0.0012
HYDRA_0145,Calibration_XPSP_GAIA3,0.0088,0.0028,0.0007
HYDRA_0145,Calibration_XPSP,0.0128,0.004,-0.0025
HYDRA_0145,Calibration_iDR5_3_Main,0.0088,0.0028,0.0007
HYDRA_0146,Calibration_XPSP_GAIA3,0.0091,0.0021,-0.0006
HYDRA_0146,Calibration_XPSP,0.015,0.0038,-0.0042
HYDRA_0146,Calibration_iDR5_3_Main,0.0091,0.0021,-0.0006
HYDRA_0147,Calibration_XPSP_GAIA3,0.009,0.0031,0.0007
HYDRA_0147,Calibration_iDR5_3_Main,0.009,0.0031,0.0007
HYDRA_0148,Calibration_XPSP_GAIA3,0.0099,0.0039,0.0009
HYDRA_0148,Calibration_iDR5_3_Main,0.0099,0.0039,0.0009
HYDRA_0149,Calibration_XPSP_GAIA3,0.0061,0.0018,-0.0012
HYDRA_0149,Calibration_iDR5_3_Main,0.0061,0.0018,-0.0012
HYDRA_0150,Calibration_iDR5_3_Main,0.0157,0.008,-0.0004
HYDRA_0151,Calibration_iDR5_3_Main,0.0184,0.0101,-0.0005
HYDRA_0152,Calibration_XPSP_GAIA3,0.0134,0.0044,-0.0006
HYDRA_0152,Calibration_iDR5_3_Main,0.0134,0.0044,-0.0006
HYDRA_0153,Calibration_XPSP_GAIA3,0.0141,0.005,-0.0009
HYDRA_0153,Calibration_iDR5_3_Main,0.0141,0.005,-0.0009
HYDRA_0154,Calibration_iDR5_3_Main,0.0128,0.0028,-0.0052
HYDRA_0155,Calibration_XPSP_GAIA3,0.0131,0.004,-0.0028
HYDRA_0155,Calibration_iDR5_3_Main,0.0131,0.004,-0.0028
HYDRA_0156,Calibration_XPSP_GAIA3,0.0124,0.0053,-0.0009
HYDRA_0156,Calibration_iDR5_3_Main,0.0124,0.0053,-0.0009
HYDRA_0157,Calibration_XPSP_GAIA3,0.0122,0.0053,0.0001
HYDRA_0157,Calibration_iDR5_3_Main,0.0122,0.0053,0.0001
HYDRA_0158,Calibration_XPSP_GAIA3,0.0095,0.004,0.0001
HYDRA_0158,Calibration_iDR5_3_Main,0.0095,0.004,0.0001
HYDRA_0159,Calibration_XPSP_GAIA3,0.0108,0.0067,0.0042
HYDRA_0159,Calibration_iDR5_3_Main,0.0108,0.0067,0.0042
HYDRA_0160,Calibration_XPSP_GAIA3,0.0151,0.0049,-0.001
HYDRA_0160,Calibration_iDR5_3_Main,0.0151,0.0049,-0.001
HYDRA_0161,Calibration_XPSP_GAIA3,0.0108,0.0035,0.0005
HYDRA_0161,Calibration_iDR5_3_Main,0.0108,0.0035,0.0005
