Field,ZP_gaiascale
HYDRA-0018,0.013
HYDRA-0019,0.014
HYDRA-0020,0.014
HYDRA-0021,0.014
HYDRA-0022,0.018
HYDRA-0023,0.016
HYDRA-0024,0.017
HYDRA-0025,0.011
HYDRA-0026,0.017
HYDRA-0027,0.014
HYDRA-0028,0.013
HYDRA-0029,0.013
HYDRA-0030,0.013
HYDRA-0031,0.013
HYDRA-0032,0.013
HYDRA-0033,0.012
HYDRA-0034,0.015
HYDRA-0035,0.013
HYDRA-0036,0.015
HYDRA-0037,0.016
HYDRA-0038,0.012
HYDRA-0039,0.015
HYDRA-0040,0.013
HYDRA-0041,0.015
HYDRA-0042,0.015
HYDRA-0043,0.015
HYDRA-0044,0.016
HYDRA-0045,0.014
HYDRA-0046,0.017
HYDRA-0047,0.014
HYDRA-0048,0.016
HYDRA-0049,0.012
HYDRA-0050,0.012
HYDRA-0051,0.012
HYDRA-0052,0.016
HYDRA-0053,0.014
HYDRA-0054,0.017
HYDRA-0055,0.018
HYDRA-0056,0.016
HYDRA-0057,0.018
HYDRA-0058,0.016
HYDRA-0059,0.011
HYDRA-0060,0.012
HYDRA-0062,0.015
HYDRA-0063,0.015
HYDRA-0064,0.014
HYDRA-0067,0.014
HYDRA-0068,0.007
HYDRA-0069,0.011
HYDRA-0070,0.01
HYDRA-0071,0.012
HYDRA-0072,0.016
HYDRA-0073,0.012
HYDRA-0074,0.013
HYDRA-0075,0.007
HYDRA-0076,0.011
HYDRA-0077,0.008
HYDRA-0078,0.008
HYDRA-0079,0.01
HYDRA-0080,0.011
HYDRA-0081,0.011
HYDRA-0082,0.013
HYDRA-0083,0.011
HYDRA-0084,0.012
HYDRA-0085,0.012
HYDRA-0086,0.009
HYDRA-0087,0.008
HYDRA-0088,0.01
HYDRA-0089,0.009
HYDRA-0091,0.012
HYDRA-0092,0.012
HYDRA-0093,0.013
HYDRA-0094,0.013
HYDRA-0095,0.009
HYDRA-0096,0.008
HYDRA-0097,0.007
HYDRA-0098,0.007
HYDRA-0099,0.015
HYDRA-0100,0.015
HYDRA-0101,0.014
HYDRA-0102,0.012
HYDRA-0103,0.005
HYDRA-0104,0.007
HYDRA-0105,0.008
HYDRA-0106,0.014
HYDRA-0107,0.014
HYDRA-0108,0.011
HYDRA-0110,0.009
HYDRA-0111,0.009
HYDRA-0112,0.007
HYDRA-0113,0.008
HYDRA-0115,0.007
HYDRA-0116,0.011
HYDRA-0117,0.013
HYDRA-0118,0.014
HYDRA-0119,0.01
HYDRA-0123,0.003
HYDRA-0124,0.003
HYDRA-0125,0.004
HYDRA-0127,0.007
HYDRA-0128,0.007
HYDRA-0132,0.005
HYDRA-0133,0.006
HYDRA-0134,0.01
HYDRA-0135,0.006
HYDRA-0136,0.009
HYDRA-0140,0.001
HYDRA-0141,0.004
HYDRA-0142,0.002
HYDRA-0143,0.002
HYDRA-0144,-0.004
HYDRA-0146,-0.0
HYDRA-0147,-0.0
HYDRA-0149,0.003
HYDRA-0150,-0.0
HYDRA-0151,-0.002
HYDRA-0153,-0.004
HYDRA-0154,-0.003
HYDRA-0155,0.004
HYDRA-0156,0.002
HYDRA-0157,-0.0
HYDRA-0158,0.002
HYDRA-0159,0.005
HYDRA-0162,-0.013
HYDRA-0163,-0.005
HYDRA-0164,-0.006
HYDRA-0165,-0.001
HYDRA-0166,-0.003
HYDRA-0167,-0.001
HYDRA-D-0001,0.011
HYDRA-D-0002,0.01
HYDRA-D-0003,0.012
HYDRA-D-0004,0.011
