FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
SPLUS-b017,Calibration_iDR5_3_PSF,0.0435,0.0062,0.0017
SPLUS-b018,Calibration_iDR5_3_PSF,0.0853,0.0541,0.0049
SPLUS-b019,Calibration_iDR5_3_PSF,0.0895,0.0582,0.0186
SPLUS-b021,Calibration_iDR5_3_PSF,0.0555,0.0472,0.0024
SPLUS-b025,Calibration_iDR5_3_PSF,0.0596,0.0164,0.0065
SPLUS-b027,Calibration_iDR5_3_PSF,0.0508,0.0192,0.0066
SPLUS-b028,Calibration_iDR5_3_PSF,0.1426,0.1432,0.0109
SPLUS-b029,Calibration_iDR5_3_PSF,0.107,0.0849,0.0109
SPLUS-b030,Calibration_iDR5_3_PSF,0.0756,0.0645,0.0058
SPLUS-b032,Calibration_iDR5_3_PSF,0.0346,0.0141,-0.0038
SPLUS-b033,Calibration_iDR5_3_PSF,0.0459,0.0284,0.0053
SPLUS-b034,Calibration_iDR5_3_PSF,0.0612,0.0288,0.0163
SPLUS-b038,Calibration_iDR5_3_PSF,0.0599,0.0323,0.0045
SPLUS-b039,Calibration_iDR5_3_PSF,0.0429,0.0207,0.0033
SPLUS-b040,Calibration_iDR5_3_PSF,0.0379,0.0184,0.002
SPLUS-b041,Calibration_iDR5_3_PSF,0.1181,0.0975,0.0141
SPLUS-b042,Calibration_iDR5_3_PSF,0.0835,0.057,0.0011
SPLUS-b043,Calibration_iDR5_3_PSF,0.0824,0.0691,0.0009
SPLUS-b044,Calibration_iDR5_3_PSF,0.0552,0.0429,-0.007
SPLUS-b045,Calibration_iDR5_3_PSF,0.0375,0.0194,0.001
SPLUS-b046,Calibration_iDR5_3_PSF,0.0537,0.0271,0.0083
SPLUS-b047,Calibration_iDR5_3_PSF,0.0455,-0.0003,0.0186
SPLUS-b050,Calibration_iDR5_3_PSF,0.0521,0.0127,0.0123
SPLUS-b051,Calibration_iDR5_3_PSF,0.0465,0.0166,0.0042
SPLUS-b054,Calibration_iDR5_3_PSF,0.0281,0.0117,-0.0005
SPLUS-b056,Calibration_iDR5_3_PSF,0.0166,0.0057,0.0018
SPLUS-b057,Calibration_iDR5_3_PSF,0.065,0.0382,0.007
SPLUS-b058,Calibration_iDR5_3_PSF,0.0751,0.0455,0.0166
SPLUS-b060,Calibration_iDR5_3_PSF,0.0562,0.0316,-0.0041
SPLUS-b061,Calibration_iDR5_3_PSF,0.042,0.0088,-0.0012
SPLUS-b062,Calibration_iDR5_3_PSF,0.0761,0.0249,0.034
SPLUS-b063,Calibration_iDR5_3_PSF,0.0491,-0.0162,0.0144
SPLUS-b064,Calibration_iDR5_3_PSF,0.0498,0.0012,0.0185
SPLUS-b065,Calibration_iDR5_3_PSF,0.0494,0.0033,0.0202
SPLUS-b066,Calibration_iDR5_3_PSF,0.0512,0.0111,0.0098
SPLUS-b067,Calibration_iDR5_3_PSF,0.0472,0.013,0.006
SPLUS-b068,Calibration_iDR5_3_PSF,0.0355,0.0118,0.0037
SPLUS-b069,Calibration_iDR5_3_PSF,0.022,0.0049,0.0031
SPLUS-b070,Calibration_iDR5_3_PSF,0.0142,0.0019,-0.0004
SPLUS-b071,Calibration_iDR5_3_PSF,0.016,0.0062,0.0011
SPLUS-b072,Calibration_iDR5_3_PSF,0.015,0.0058,0.002
SPLUS-b073,Calibration_iDR5_3_PSF,0.0909,0.0559,0.0119
SPLUS-b074,Calibration_iDR5_3_PSF,0.0486,0.0176,0.0064
SPLUS-b075,Calibration_iDR5_3_PSF,0.045,0.027,0.0085
SPLUS-b076,Calibration_iDR5_3_PSF,0.0498,0.0286,-0.0019
SPLUS-b077,Calibration_iDR5_3_PSF,0.059,0.0346,-0.0121
SPLUS-b078,Calibration_iDR5_3_PSF,0.0552,0.0027,0.0053
SPLUS-b095,Calibration_iDR5_3_PSF,0.0723,0.0373,0.0559
