iDR5_Field_Name,Field_1,NAME,FIELD_2,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP,ZP_GAIA3
HYDRA_0054,HYDRA-0054,HYDRA_0054,HYDRA_0054,Calibration_iDR5_3_Main,0.0035,0.0031,0.0025,0.0030333332
HYDRA-0055,HYDRA-0055,HYDRA_0055,HYDRA-0055,Calibration_iDR5_3_Main,0.002,0.0026,0.0019,0.0021666668
HYDRA-0056,HYDRA-0056,HYDRA_0056,HYDRA-0056,Calibration_iDR5_3_Main,0.0036,0.0033,0.0026,0.0031666665
HYDRA_0057,HYDRA-0057,HYDRA_0057,HYDRA_0057,Calibration_iDR5_3_Main,0.0028,0.0027,0.0017,0.0023999999
HYDRA_0058,HYDRA-0058,HYDRA_0058,HYDRA_0058,Calibration_iDR5_3_Main,0.0044,0.0031,0.0016,0.0030333335
HYDRA_0059,HYDRA-0059,HYDRA_0059,HYDRA_0059,Calibration_iDR5_3_Main,0.0041,0.0024,0.002,0.0028333336
HYDRA_0060,HYDRA-0060,HYDRA_0060,HYDRA_0060,Calibration_iDR5_3_Main,0.006,0.0034,0.0026,0.004
HYDRA-0061,HYDRA-0061,HYDRA_0061,HYDRA-0061,Calibration_iDR5_3_Main,0.0048,0.0033,0.0024,0.0035000003
HYDRA-0062,HYDRA-0062,HYDRA_0062,HYDRA-0062,Calibration_iDR5_3_Main,0.0046,0.0032,0.0022,0.0033333332
HYDRA_0063,HYDRA-0063,HYDRA_0063,HYDRA_0063,Calibration_iDR5_3_Main,0.0052,0.0062,0.0076,0.006333334
HYDRA-0064,HYDRA-0064,HYDRA_0064,HYDRA-0064,Calibration_iDR5_3_Main,0.0042,0.0038,0.0023,0.003433333
HYDRA_0065,HYDRA-0065,HYDRA_0065,HYDRA_0065,Calibration_iDR5_3_Main,0.0041,0.0031,0.0014,0.0028666668
HYDRA_0066,HYDRA-0066,HYDRA_0066,HYDRA_0066,Calibration_iDR5_3_Main,0.0034,0.003,0.002,0.0028000001
HYDRA_0067,HYDRA-0067,HYDRA_0067,HYDRA_0067,Calibration_iDR5_3_Main,0.0031,0.0027,0.002,0.0026000002
HYDRA_0068,HYDRA-0068,HYDRA_0068,HYDRA_0068,Calibration_iDR5_3_Main,0.0022,9.0E-4,-1.0E-4,9.999999E-4
HYDRA-0069,HYDRA-0069,HYDRA_0069,HYDRA-0069,Calibration_iDR5_3_Main,0.0054,0.0039,0.0026,0.0039666668
HYDRA-0070,HYDRA-0070,HYDRA_0070,HYDRA-0070,Calibration_iDR5_3_Main,0.0053,0.0042,0.003,0.0041666664
HYDRA_0071,HYDRA-0071,HYDRA_0071,HYDRA_0071,Calibration_iDR5_3_Main,0.0053,0.0036,0.0022,0.0037
HYDRA_0072,HYDRA-0072,HYDRA_0072,HYDRA_0072,Calibration_iDR5_3_Main,0.0046,0.0037,0.002,0.0034333335
HYDRA_0073,HYDRA-0073,HYDRA_0073,HYDRA_0073,Calibration_iDR5_3_Main,0.004,0.003,0.0016,0.0028666668
HYDRA_0074,HYDRA-0074,HYDRA_0074,HYDRA_0074,Calibration_iDR5_3_Main,0.0034,0.0025,0.0019,0.0026
HYDRA-0075,HYDRA-0075,HYDRA_0075,HYDRA-0075,Calibration_iDR5_3_Main,0.0052,0.0048,0.0048,0.0049333335
HYDRA_0076,HYDRA-0076,HYDRA_0076,HYDRA_0076,Calibration_iDR5_3_Main,0.0041,0.0029,0.002,0.0030000003
HYDRA-0077,HYDRA-0077,HYDRA_0077,HYDRA-0077,Calibration_iDR5_3_Main,0.0062,0.0028,0.0016,0.0035333333
HYDRA_0078,HYDRA-0078,HYDRA_0078,HYDRA_0078,Calibration_iDR5_3_Main,0.0049,0.003,0.0023,0.0033999998
HYDRA_0079,HYDRA-0079,HYDRA_0079,HYDRA_0079,Calibration_iDR5_3_Main,0.0021,4.0E-4,-4.0E-4,7.0E-4
HYDRA_0080,HYDRA-0080,HYDRA_0080,HYDRA_0080,Calibration_iDR5_3_Main,0.0053,0.0031,0.0016,0.0033333332
HYDRA_0081,HYDRA-0081,HYDRA_0081,HYDRA_0081,Calibration_iDR5_3_Main,0.0047,0.004,0.003,0.0039000001
HYDRA_0082,HYDRA-0082,HYDRA_0082,HYDRA_0082,Calibration_iDR5_3_Main,0.0042,0.0025,6.0E-4,0.0024333333
HYDRA_0083,HYDRA-0083,HYDRA_0083,HYDRA_0083,Calibration_iDR5_3_Main,0.0031,0.0028,0.0018,0.0025666666
HYDRA-0084,HYDRA-0084,HYDRA_0084,HYDRA-0084,Calibration_iDR5_3_Main,0.0036,0.0032,0.0018,0.0028666665
HYDRA-0085,HYDRA-0085,HYDRA_0085,HYDRA-0085,Calibration_iDR5_3_Main,0.0042,0.0026,0.001,0.0026
