PID,RA_d,DEC_d,EPOC,NAME
HYDRA,152.229,-47.281,2000,HYDRA-0161
HYDRA,154.288,-47.281,2000,HYDRA-0162
HYDRA,156.342,-47.281,2000,HYDRA-0163
HYDRA,158.400,-47.281,2000,HYDRA-0164
HYDRA,160.458,-47.281,2000,HYDRA-0165
HYDRA,162.513,-47.281,2000,HYDRA-0166
HYDRA,164.571,-47.281,2000,HYDRA-0167
HYDRA-D,158.354,-34.635,2000,HYDRA-D-0001
HYDRA-D,156.679,-34.632,2000,HYDRA-D-0002
HYDRA-D,158.367,-36.005,2000,HYDRA-D-0003
HYDRA-D,156.667,-36.008,2000,HYDRA-D-0004
SPLUS,150.792,0.000,2000,SPLUS-n01s01
SPLUS,173.888,0.000,2000,SPLUS-n01s18
SPLUS,175.246,0.000,2000,SPLUS-n01s19
SPLUS,176.604,0.000,2000,SPLUS-n01s20
SPLUS,177.963,0.000,2000,SPLUS-n01s21
SPLUS,179.321,0.000,2000,SPLUS-n01s22
SPLUS,180.679,0.000,2000,SPLUS-n01s23
SPLUS,182.038,0.000,2000,SPLUS-n01s24
SPLUS,183.396,0.000,2000,SPLUS-n01s25
SPLUS,184.754,0.000,2000,SPLUS-n01s26
SPLUS,186.113,0.000,2000,SPLUS-n01s27
