PID,NAME,RA,DEC,RA_d,DEC_d,Removed
STRIPE82,STRIPE82_0141,22:34:58,-0:42:00,338.7416667,-0.7,0
STRIPE82,STRIPE82_0142,22:34:58,+00:42:00,338.7416667,0.7,0
STRIPE82,STRIPE82_0143,22:40:38,-0:42:00,340.1583333,-0.7,0
STRIPE82,STRIPE82_0144,22:40:38,+00:42:00,340.1583333,0.7,0
STRIPE82,STRIPE82_0145,22:46:18,-0:42:00,341.575,-0.7,0
STRIPE82,STRIPE82_0146,22:46:18,+00:42:00,341.575,0.7,0
STRIPE82,STRIPE82_0147,22:51:58,-0:42:00,342.9916667,-0.7,0
STRIPE82,STRIPE82_0148,22:51:58,+00:42:00,342.9916667,0.7,0
STRIPE82,STRIPE82_0149,22:57:38,-0:42:00,344.4083333,-0.7,0
STRIPE82,STRIPE82_0150,22:57:38,+00:42:00,344.4083333,0.7,0
STRIPE82,STRIPE82_0151,23:03:18,-0:42:00,345.825,-0.7,0
STRIPE82,STRIPE82_0152,23:03:18,+00:42:00,345.825,0.7,0
STRIPE82,STRIPE82_0153,23:08:59,-0:42:00,347.2458333,-0.7,0
STRIPE82,STRIPE82_0154,23:08:59,+00:42:00,347.2458333,0.7,0
STRIPE82,STRIPE82_0155,23:14:39,-0:42:00,348.6625,-0.7,0
STRIPE82,STRIPE82_0156,23:14:39,+00:42:00,348.6625,0.7,0
STRIPE82,STRIPE82_0157,23:20:19,-0:42:00,350.0791667,-0.7,0
STRIPE82,STRIPE82_0158,23:20:19,+00:42:00,350.0791667,0.7,0
STRIPE82,STRIPE82_0159,23:25:59,-0:42:00,351.4958333,-0.7,0
STRIPE82,STRIPE82_0160,23:25:59,+00:42:00,351.4958333,0.7,0
STRIPE82,STRIPE82_0161,23:31:39,-0:42:00,352.9125,-0.7,0
STRIPE82,STRIPE82_0162,23:31:39,+00:42:00,352.9125,0.7,0
STRIPE82,STRIPE82_0163,23:37:19,-0:42:00,354.3291667,-0.7,0
STRIPE82,STRIPE82_0164,23:37:19,+00:42:00,354.3291667,0.7,0
STRIPE82,STRIPE82_0165,23:43:00,-0:42:00,355.75,-0.7,0
STRIPE82,STRIPE82_0166,23:43:00,+00:42:00,355.75,0.7,0
STRIPE82,STRIPE82_0167,23:48:40,-0:42:00,357.1666667,-0.7,0
STRIPE82,STRIPE82_0168,23:48:40,+00:42:00,357.1666667,0.7,0
STRIPE82,STRIPE82_0169,23:54:20,-0:42:00,358.5833333,-0.7,0
STRIPE82,STRIPE82_0170,23:54:20,+00:42:00,358.5833333,0.7,0
