RAJ2000,DEJ2000,cst,type
329.7056294444444,-15.9042444,AQR,I
329.6988480555555,-14.9042645,AQR,I
329.69215361111105,-13.9042864,AQR,I
329.68548749999997,-12.9043083,AQR,I
329.6789069444444,-11.9043283,AQR,I
329.672355,-10.9043484,AQR,I
329.66583305555554,-9.9043694,AQR,I
329.6593663888888,-8.9043894,AQR,I
329.65616249999994,-8.4043999,AQR,O
328.6577219444444,-8.4107742,AQR,I
327.6592544444444,-8.4173279,AQR,I
326.6608994444444,-8.424057,AQR,I
325.6624036111111,-8.4309626,AQR,I
324.6639061111111,-8.4380417,AQR,I
323.66555249999993,-8.4452906,AQR,I
322.6669980555555,-8.4527092,AQR,I
321.668415,-8.4602947,AQR,O
321.6763111111111,-9.4602642,AQR,I
321.68420861111105,-10.4602337,AQR,I
321.69219,-11.4602032,AQR,I
321.70020138888884,-12.4601717,AQR,I
321.7082969444444,-13.4601412,AQR,I
321.71645111111104,-14.4601107,AQR,O
320.71901249999996,-14.4678507,AQR,I
319.72143138888885,-14.4757547,AQR,I
318.7237936111111,-14.4838171,AQR,I
317.7262694444444,-14.4920359,AQR,I
316.7285730555555,-14.5004101,AQR,I
315.7308480555555,-14.5089369,AQR,I
314.73323861111106,-14.5176105,AQR,I
313.7353994444444,-14.5264339,AQR,I
312.7375605555555,-14.5354004,AQR,I
311.7398069444444,-14.544507,AQR,I
310.7418825,-14.5537539,AQR,I
309.7439011111111,-14.5631361,AQR,I
309.7439011111111,-14.5631361,AQR,O
309.7338586111111,-13.5631838,AQR,I
309.72387305555554,-12.5632305,AQR,I
309.71397444444443,-11.5632782,AQR,I
309.70413138888887,-10.563324,AQR,I
309.6943755555555,-9.5633707,AQR,I
309.6846480555555,-8.5634165,AQR,O
280.3861711111111,-2.8842952,AQL,I
280.3741544444444,-1.8843669,AQL,I
280.3621680555555,-0.8844388,AQL,I
280.3502086111111,0.1154895,AQL,O
280.3382205555555,1.1154177,AQL,I
280.32623249999995,2.115346,AQL,O
281.32627499999995,2.1273098,AQL,I
282.3263744444444,2.1392353,AQL,I
283.32627305555553,2.1511161,AQL,I
284.32634388888886,2.1629529,AQL,I
284.57642555555555,2.1659052,AQL,O
284.56460999999996,3.1658356,AQL,I
284.5527644444444,4.1657658,AQL,I
284.5408919444444,5.1656952,AQL,I
284.5289611111111,6.1656256,AQL,I
284.525985,6.4156075,AQL,O
283.52565749999997,6.40378,AQL,I
282.5254155555555,6.3919063,AQL,I
281.52531611111107,6.3799911,AQL,I
281.45856888888886,6.3791943,AQL,O
281.4464669444444,7.3791218,AQL,I
281.43430638888884,8.3790493,AQL,I
281.4220619444444,9.3789759,AQL,I
281.40975888888886,10.3789034,AQL,I
281.3974005555555,11.378829,AQL,I
281.388045,12.1287737,AQL,O
282.38837249999995,12.1406946,AQL,I
283.3888725,12.1525745,AQL,I
284.3894580555555,12.1644087,AQL,I
284.4562619444444,12.1651964,AQL,O
284.443875,13.165123,AQL,I
284.43137111111105,14.1650496,AQL,I
284.4187544444444,15.1649752,AQL,I
284.4060511111111,16.1648998,AQL,I
284.39317638888883,17.1648235,AQL,I
284.3801880555555,18.1647472,AQL,I
284.37363611111107,18.6647091,AQL,O
285.37445111111106,18.6764908,AQL,I
286.37549388888885,18.6882229,AQL,O
286.3884255555555,17.6882992,AQL,I
286.40124305555554,16.6883736,AQL,I
286.40547749999996,16.3550682,AQL,O
287.40646361111106,16.3667412,AQL,I
288.4073355555555,16.3783512,AQL,I
289.4084355555555,16.3899002,AQL,I
290.4095655555555,16.4013786,AQL,I
291.41060861111106,16.4127865,AQL,I
292.4118811111111,16.4241199,AQL,I
293.4132105555555,16.4353771,AQL,I
294.4144530555555,16.4465485,AQL,I
