iDR5_Field_Name,Field,NAME,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
SPLUS-s44s19,SPLUS-s44s19,SPLUS-s44s19,Calibration_iDR5_3_Main,19.7025,19.0672,19.0661,19.9228,20.0283,22.4084,20.373,22.5966,20.0997,22.4207,20.7114,21.8627
SPLUS-s44s20,SPLUS-s44s20,SPLUS-s44s20,Calibration_iDR5_3_Main,19.6589,19.04,19.0333,19.8867,19.9806,22.3521,20.3181,22.5642,20.0697,22.3909,20.6928,21.8294
SPLUS-s44s21,SPLUS-s44s21,SPLUS-s44s21,Calibration_iDR5_3_Main,19.6741,19.0452,19.04,19.8977,19.991,22.3701,20.3311,22.5691,20.0742,22.4,20.6956,21.8388
SPLUS-s44s22,SPLUS-s44s22,SPLUS-s44s22,Calibration_iDR5_3_Main,19.5996,18.9955,18.975,19.833,19.9273,22.3037,20.2672,22.5323,20.0413,22.351,20.6836,21.7463
SPLUS-s44s23,SPLUS-s44s23,SPLUS-s44s23,Calibration_iDR5_3_Main,19.6641,19.0366,19.0108,19.8705,19.9614,22.3282,20.305,22.5386,20.0534,22.3568,20.6788,21.7533
SPLUS-s44s24,SPLUS-s44s24,SPLUS-s44s24,Calibration_iDR5_3_Main,19.8257,19.1879,19.1747,20.0259,20.1356,22.4863,20.4461,22.6461,20.1439,22.4477,20.7368,21.8799
SPLUS-s44s25,SPLUS-s44s25,SPLUS-s44s25,Calibration_iDR5_3_Main,19.7861,19.161,19.1407,19.993,20.0903,22.4546,20.4147,22.6351,20.1386,22.4505,20.7452,21.8811
SPLUS-s44s26,SPLUS-s44s26,SPLUS-s44s26,Calibration_iDR5_3_Main,19.8244,19.1893,19.168,20.0269,20.1165,22.4776,20.4324,22.6461,20.1437,22.4533,20.746,21.88
SPLUS-s44s27,SPLUS-s44s27,SPLUS-s44s27,Calibration_iDR5_3_Main,19.838,19.2044,19.172,20.0442,20.1457,22.4951,20.4585,22.6549,20.1569,22.4698,20.7558,21.922
SPLUS-s44s28,SPLUS-s44s28,SPLUS-s44s28,Calibration_iDR5_3_Main,19.7188,19.0965,19.0877,19.9506,20.0609,22.4323,20.4006,22.6115,20.1153,22.4249,20.7236,21.854
SPLUS-s44s29,SPLUS-s44s29,SPLUS-s44s29,Calibration_iDR5_3_Main,19.8303,19.1999,19.1875,20.0479,20.1389,22.4982,20.4551,22.6535,20.1472,22.4555,20.7337,21.8964
SPLUS-s44s30,SPLUS-s44s30,SPLUS-s44s30,Calibration_iDR5_3_Main,19.7621,19.1444,19.1208,19.9914,20.0996,22.4711,20.4337,22.6414,20.1384,22.4496,20.7403,21.8788
SPLUS-s44s31,SPLUS-s44s31,SPLUS-s44s31,Calibration_iDR5_3_Main,19.7731,19.1537,19.1222,19.9933,20.0945,22.4588,20.4211,22.6289,20.1264,22.4347,20.7238,21.8611
SPLUS-s45s17,SPLUS-s45s17,SPLUS-s45s17,Calibration_iDR5_3_Main,19.401,18.7855,18.7955,19.6466,19.7591,22.1599,20.1436,22.4142,19.9323,22.2343,20.5984,21.6118
SPLUS-s45s18,SPLUS-s45s18,SPLUS-s45s18,Calibration_iDR5_3_Main,19.6205,18.9957,18.9809,19.8304,19.9246,22.3059,20.273,22.5209,20.0309,22.3372,20.6595,21.7291
SPLUS-s45s19,SPLUS-s45s19,SPLUS-s45s19,Calibration_iDR5_3_Main,19.6999,19.0664,19.0488,19.9167,20.0272,22.4083,20.3756,22.5977,20.1002,22.4203,20.7119,21.8569
SPLUS-s45s20,SPLUS-s45s20,SPLUS-s45s20,Calibration_iDR5_3_Main,19.6494,19.0241,19.0166,19.865,19.9759,22.3562,20.3272,22.5657,20.0702,22.3979,20.6988,21.8381
SPLUS-s45s21,SPLUS-s45s21,SPLUS-s45s21,Calibration_iDR5_3_Main,19.6805,19.0645,19.0507,19.9106,20.0114,22.3935,20.3623,22.5937,20.0989,22.4122,20.7269,21.8208
SPLUS-s45s22,SPLUS-s45s22,SPLUS-s45s22,Calibration_iDR5_3_Main,19.5767,18.9697,18.9654,19.8259,19.9284,22.3139,20.2847,22.5229,20.0309,22.3249,20.6645,21.6976
SPLUS-s45s23,SPLUS-s45s23,SPLUS-s45s23,Calibration_iDR5_3_Main,19.7952,19.1611,19.1543,20.0126,20.1216,22.4904,20.4505,22.651,20.1483,22.461,20.7374,21.9059
SPLUS-s45s24,SPLUS-s45s24,SPLUS-s45s24,Calibration_iDR5_3_Main,19.8512,19.2166,19.191,20.0652,20.1671,22.5217,20.478,22.6677,20.1668,22.4724,20.7523,21.9201
SPLUS-s45s25,SPLUS-s45s25,SPLUS-s45s25,Calibration_iDR5_3_Main,19.7221,19.0986,19.0838,19.9451,20.0472,22.4244,20.3931,22.6151,20.1157,22.4236,20.7303,21.8264
SPLUS-s45s26,SPLUS-s45s26,SPLUS-s45s26,Calibration_iDR5_3_Main,19.6921,19.0687,19.0601,19.926,20.0292,22.4071,20.3769,22.5845,20.0872,22.3801,20.6921,21.7769
SPLUS-s45s27,SPLUS-s45s27,SPLUS-s45s27,Calibration_iDR5_3_Main,19.7623,19.1379,19.1116,19.9785,20.0858,22.4554,20.4202,22.6225,20.1202,22.4259,20.7206,21.8521
SPLUS-s45s28,SPLUS-s45s28,SPLUS-s45s28,Calibration_iDR5_3_Main,19.7659,19.141,19.1236,19.9845,20.0821,22.4535,20.4141,22.6215,20.1212,22.4329,20.7235,21.8656
SPLUS-s45s29,SPLUS-s45s29,SPLUS-s45s29,Calibration_iDR5_3_Main,19.7517,19.1222,19.1008,19.9733,20.0857,22.4584,20.4205,22.6302,20.1276,22.4414,20.7319,21.8765
SPLUS-s45s30,SPLUS-s45s30,SPLUS-s45s30,Calibration_iDR5_3_Main,19.8101,19.1839,19.1594,20.0237,20.1236,22.487,20.4483,22.6461,20.1402,22.4498,20.7327,21.8901
