iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
STRIPE82-0066,STRIPE82-0066,STRIPE82_0066,single,-0.39175,-0.33854,-0.27916,-0.27886,-0.26311,-0.30024,-0.23893,-0.26165,-0.23183,-0.28968,-0.209,-0.29642
STRIPE82_0067,STRIPE82-0067,STRIPE82_0067,single,-0.40068,-0.12798,-0.35075,-0.32787,-0.32978,-0.30252,-0.28,-0.25671,-0.27318,-0.23286,-0.26821,-0.24774
STRIPE82-0068,STRIPE82-0068,STRIPE82_0068,single,-0.45378,-0.47881,-0.45243,-0.46604,-0.46018,-0.36466,-0.41221,-0.34084,-0.44406,-0.32184,-0.36839,-0.33154
STRIPE82-0069,STRIPE82-0069,STRIPE82_0069,single,-0.42824,-0.36147,-0.34513,-0.36787,-0.33082,-0.29379,-0.29436,-0.27682,-0.29661,-0.24774,-0.23026,-0.26061
STRIPE82_0070,STRIPE82-0070,STRIPE82_0070,single,-0.84028,-0.85441,-0.55881,-0.46714,-0.49954,-0.49658,-0.61016,-0.43524,-0.44706,-0.39086,-0.31983,-0.4036
STRIPE82_0071,STRIPE82-0071,STRIPE82_0071,single,-0.66579,-0.49789,-0.42788,-0.62916,-0.92538,-0.54507,-0.62779,-0.38691,-0.6656,-0.28747,-0.41079,-0.3919
STRIPE82_0072,STRIPE82-0072,STRIPE82_0072,single,-0.35657,-0.17337,-0.35609,-0.34107,-0.30561,-0.33045,-0.2761,-0.26628,-0.36619,-0.27003,-0.30117,-0.27769
STRIPE82_0073,STRIPE82-0073,STRIPE82_0073,single,-0.50778,-0.42575,-0.40432,-0.39403,-0.39154,-0.44835,-0.38235,-0.44934,-0.40351,-0.3411,-0.32969,-0.30334
STRIPE82-0074,STRIPE82-0074,STRIPE82_0074,single,-0.48898,-0.47082,-0.42713,-0.41636,-0.41779,-0.39813,-0.39704,-0.37422,-0.37449,-0.29876,-0.3562,-0.30523
STRIPE82_0075,STRIPE82-0075,STRIPE82_0075,single,-0.31116,-0.19515,-0.38483,-0.31026,-0.30517,-0.27196,-0.25633,-0.22791,-0.22647,-0.19985,-0.2021,-0.23166
